lugar,tipo,nos_bruto,arestas_bruto,nos,arestas,grau_medio_2E,m1,m2,m3,var_k,std_k,cv_k,Entropia_H(K),H_max_possivel,H_norm,indice_h,coeficiente_gini
"São Carlos, São Paulo, Brasil",drive,9218,22638,9218,13882,3.011933174224344,3.011933174224344,9.750922108917335,32.83423736168366,0.679180662924205,0.8241241793104999,0.27361967601513426,1.3770449680206303,8.049848549450562,0.17106470507629856,5.0,0.12802431672414574
"São Carlos, São Paulo, Brasil",bike,11836,29964,11836,17509,2.9586008786752283,2.9586008786752283,9.458769854680636,31.532105441027372,0.7054506953828036,0.8399111235022451,0.28388794499321984,1.417478107426234,8.049848549450562,0.1760875498114785,5.0,0.13390288287213303
"São Carlos, São Paulo, Brasil",walk,12644,37926,12644,18719,2.9609300854160074,2.9609300854160074,9.474533375514078,31.62179689971528,0.7074264047924318,0.8410864431153505,0.2840615681059483,1.4140469613934419,8.049848549450562,0.17566131247151934,6.0,0.13365048688998557
"Salvador, Bahia, Brasil",drive,28215,64717,28215,36680,2.6000354421407055,2.6000354421407055,7.599645578592947,23.446606415027468,0.839461278205134,0.9162211950206861,0.3523879637064975,1.2617200041805974,8.049848549450562,0.15673835307953904,5.0,0.1648998450324284
"Salvador, Bahia, Brasil",bike,43752,99319,43752,55699,2.5461236057780217,2.5461236057780217,7.38503382702505,22.779941488389102,0.9022884111249759,0.9498886309062636,0.3730724732886663,1.3554222707532024,8.049848549450562,0.16837860519074188,5.0,0.18062584294351428
"Salvador, Bahia, Brasil",walk,50231,133176,50231,65561,2.610380044195815,2.610380044195815,7.6766936752204815,23.886006649280326,0.8626097000847347,0.9287678397127749,0.3557979389927884,1.328673728227604,8.049848549450562,0.16505574236154938,6.0,0.16900139351649993
"Vila Nery, São Carlos, SP, Brasil",drive,738,1835,738,1056,2.861788617886179,2.861788617886179,8.956639566395664,29.3739837398374,0.7668054729327782,0.8756742961471339,0.3059884614377769,1.4751113318341738,8.049848549450562,0.1832470912679291,4.0,0.1472717520735813
"Vila Nery, São Carlos, SP, Brasil",bike,840,2107,840,1178,2.8047619047619046,2.8047619047619046,8.65952380952381,28.097619047619048,0.7928344671201812,0.8904125263720076,0.31746456797643735,1.4986861444456852,8.049848549450562,0.18617569451638655,4.0,0.154089861751152
"Vila Nery, São Carlos, SP, Brasil",walk,844,2394,844,1185,2.808056872037915,2.808056872037915,8.672985781990521,28.137440758293838,0.7878023853911637,0.8875823259794912,0.31608417009565,1.4864114468469534,8.049848549450562,0.18465085867341038,4.0,0.15284160217569537
Erdos_Renyi,unique,9218,13882,9218,13882,3.011933174224344,3.011933174224344,12.13126491646778,58.238229550878714,3.0595234704746495,1.7491493562513893,0.5807397624955088,2.7958367416535594,8.049848549450562,0.34731544630667466,10.0,0.3198941398300882
Barabasi_Albert,unique,9218,18432,9218,18432,3.999132132783684,3.999132132783684,56.236276849642,5491.180733347798,40.24321903417903,6.343754332741695,1.5862827538848998,2.4915418987519797,8.049848549450562,0.3095141335201938,36.0,0.38889422124361156
